company_name,website,city,state,industry,company_type,estimated_size,startup_stage,arizona_presence,software_relevance,ai_ml_relevance,robotics_relevance,entry_level_relevance,current_hiring,careers_url,relevant_open_roles,itar_status,clearance_status,recruiting_firm,company_description,why_relevant,cto_name,cto_linkedin,cto_email,engineering_lead_name,engineering_lead_linkedin,engineering_lead_email,founder_name,founder_linkedin,founder_email,general_contact_email,linkedin_company,source_urls,verification_date,confidence,outreach_status,last_contacted,follow_up_date,outreach_priority,notes
Machine Solutions,https://www.machinesolutions.com,Flagstaff,AZ,Medical Device Manufacturing Automation,Private,50-200,Growth,HQ,MEDIUM,LOW,HIGH,LOW,UNCLEAR,https://www.machinesolutions.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Designs automated manufacturing/testing machines for medical device industry, HQ Flagstaff.",Robotics/automation engineering (controls software) fit.,,,,,,,,,,,https://www.linkedin.com/company/machine-solutions-inc-,general search listing (Flagstaff technology companies),2026-09-22,LOW,,,,P3,Verify software/controls engineering headcount directly.
Katalyst Space Technologies,https://www.katalystspace.com,Flagstaff,AZ,Space Robotics/Satellite Servicing,Private,11-50,Growth,HQ,HIGH,MEDIUM,HIGH,MEDIUM,YES,https://www.katalystspace.com/careers,"Software Developer (Full-Stack Space Applications), Lead Software Engineer (Astrodynamics/Space Domain Awareness), GNC Engineer",UNCLEAR,UNCLEAR,NO,"Satellite servicing/rendezvous-and-proximity-operations spacecraft company, founded 2019, HQ Flagstaff.",Strong robotics/GNC/software fit; multiple confirmed open engineering roles.,,,,,,,,,,,https://www.linkedin.com/company/katalyst-space,https://www.katalystspace.com/careers;https://job-boards.greenhouse.io/katalyst,2026-09-22,HIGH,,,,P1,"Space/satellite servicing company; some government/defense-adjacent contracts possible - ITAR/clearance status not confirmed company-wide, flagged UNCLEAR per scope rules. Confirmed multiple open SWE reqs."
World View Enterprises,https://worldview.space,Tucson,AZ,Space Technology (Stratospheric Flight),Private,50-200,Growth,HQ,MEDIUM,LOW,MEDIUM,LOW,UNCLEAR,https://worldview.space/careers/,,NONE_FOUND,NONE_FOUND,NO,"Stratospheric balloon flight technology for tourism, research and Earth observation, HQ Tucson.",Aerospace/embedded software and flight systems engineering.,,,,,,,,,,,https://www.linkedin.com/company/world-view-enterprises,general search listing (Arizona space companies),2026-09-22,LOW,,,,P3,Verify current entry-level engineering openings directly.
FreeFall Aerospace,https://freefallaerospace.com,Tucson,AZ,Space Technology (Antenna Systems),Private,11-50,Early/Growth,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,https://freefallaerospace.com/careers/,,NONE_FOUND,NONE_FOUND,NO,Develops antenna technology for small spacecraft and ground stations supporting LEO/MEO satellites.,Small aerospace tech company; some software/embedded roles likely.,,,,,,,,,,,,general search listing (Arizona space companies),2026-09-22,LOW,,,,P3,
Phantom Space,https://phantom.space,Tucson,AZ,Space Launch Technology,Private,50-200,Growth,HQ,MEDIUM,LOW,HIGH,LOW,UNCLEAR,https://phantom.space/careers/,,UNCLEAR,UNCLEAR,NO,"Space transportation company building satellites, propulsion, and launch vehicles, HQ Tucson.",Aerospace/robotics/GNC software fit.,,,,,,,,,,,https://www.linkedin.com/company/phantom-space-corporation,general search listing (Arizona space companies),2026-09-22,LOW,,,,P3,"Space launch vehicle company; ITAR export-control exposure likely for parts of the business - marked UNCLEAR pending direct confirmation, not assumed NONE_FOUND."
KinetX Aerospace,https://www.kinetx.com,Tempe,AZ,Aerospace Engineering (Space Mission Navigation),Private,50-200,Established (1992),HQ,MEDIUM,LOW,MEDIUM,LOW,UNCLEAR,https://www.kinetx.com/careers/,,UNCLEAR,UNCLEAR,NO,"Aerospace engineering firm supporting NASA missions (MESSENGER, New Horizons), HQ Tempe.",Flight dynamics/navigation software engineering.,,,,,,,,,,,https://www.linkedin.com/company/kinetx-aerospace,general search listing (Arizona aerospace companies),2026-09-22,LOW,,,,P3,"NASA contractor; export control/ITAR relevance possible for spacecraft navigation work - marked UNCLEAR, not assumed clear."
Pinnacle Aerospace,,Tucson,AZ,Aerospace Embedded Software Engineering,Private,1-50,Unclear,HQ (per listing),MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Embedded software/engineering and system design services for aerospace clients.,Embedded software relevance.,,,,,,,,,,,,general search listing (Arizona aerospace companies),2026-09-22,LOW,,,,P3,Low verification confidence - website/details not directly confirmed; recommend re-verifying before outreach.
RoboTire,https://www.robotire.com,Phoenix,AZ,Robotics (Automated Tire Service),Private (YC W20),11-50,Seed/Series A,Operations site,MEDIUM,LOW,HIGH,MEDIUM,UNCLEAR,https://www.ycombinator.com/companies/robotire/jobs,,NONE_FOUND,NONE_FOUND,NO,Y Combinator (W20) startup automating vehicle tire service/maintenance using robotics.,Direct robotics automation fit; ROS/motion-planning-adjacent skills.,,,,,,,,,,,https://www.linkedin.com/company/robotire,https://www.ycombinator.com/companies/robotire,2026-09-22,MEDIUM,,,,P2,No open YC job board listings at verification time; confirm HQ/AZ site directly with company.
The Robot Factory,https://robot-factory-landing.webflow.io,Tempe,AZ,"AI/Robotics/IoT (Machine Vision, NLP)",Private,1-50,Early-stage,HQ,MEDIUM,MEDIUM,HIGH,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Founded 2013 in Tempe; fuses AI, machine vision, and NLP with robotic/IoT platforms.",Direct robotics/CV/NLP fit for candidate's ROS/CV background.,,,,,,,,,,,,https://robot-factory-landing.webflow.io/about-us,2026-09-22,LOW,,,,P3,Small/early-stage; verify current operating status and engineering headcount directly.
Bastian Solutions,https://www.bastiansolutions.com,Phoenix,AZ,Warehouse Robotics/Automation,Private (Toyota Advanced Logistics subsidiary),1000-5000 (global); Phoenix office,Established,Office,HIGH,MEDIUM,HIGH,MEDIUM,UNCLEAR,https://www.bastiansolutions.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Warehouse automation integrator (robotics, conveyors, controls software), Phoenix team, owned by Toyota Advanced Logistics.","Robotics + controls software engineering, ROS-adjacent skills relevant.",,,,,,,,,,,https://www.linkedin.com/company/bastian-solutions,general search listing (Arizona warehouse automation),2026-09-22,MEDIUM,,,,P2,"Phoenix is a regional office, not global HQ (Indianapolis); confirm local engineering headcount."
Levels AI (Levels Tech),https://levelsai.com,Tucson,AZ,AI/LLM Consulting & Development,Private,1-50,Early-stage (founded 2020),HQ,HIGH,HIGH,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Tucson-based custom AI/agentic AI development and LLM integration consultancy.,Direct LLM/agentic AI development work; consultancy explicitly includable per scope.,,,,,,,,,,,,https://levelsai.com/,2026-09-22,LOW,,,,P3,Small consultancy; verify engineering headcount and hiring status directly.
360 SOC,https://360soc.com,Scottsdale,AZ,Cybersecurity (Managed SOC/SIEM),Private,11-50,Established (2015),HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,Managed cybersecurity/SOC services helping enterprises detect and manage security threats.,Security engineering / backend tooling roles possible.,,,,,,,,,,,,general search listing (Arizona cybersecurity companies),2026-09-22,LOW,,,,P3,
Silent Sector,https://silentsector.com,Phoenix,AZ,Cybersecurity Services,Private,11-50,Established (2016),HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,https://silentsector.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Cybersecurity services provider for mid-market and emerging companies, HQ Phoenix.",Security/software engineering roles possible; primarily a services firm.,,,,,,,,,,,,https://silentsector.com/cyber-security-phoenix-arizona-consulting-testing-compliance,2026-09-22,LOW,,,,P3,
Blue K Smart Systems,,Scottsdale,AZ,Managed IT/Cybersecurity/AI Systems,Private,1-50,Unclear,HQ,MEDIUM,MEDIUM,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Provides managed IT, network security, software development and private on-prem AI solutions to SMBs.",Small IT/AI solutions provider.,,,,,,,,,,,,general search listing (Arizona cybersecurity companies),2026-09-22,LOW,,,,P3,Low verification confidence - primary website not directly confirmed.
DreamzTech Solutions,https://www.dreamztech.com,Goodyear,AZ,Custom Software Development,Private,50-200,Established,Office,HIGH,LOW,LOW,MEDIUM,UNCLEAR,https://www.dreamztech.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"Custom software development firm (Java, C#, PHP, Python, Ruby, Rust) with Goodyear AZ office; also NY/TX/CA/NV.",Custom software consultancy with broad language stack overlap; consultancies explicitly includable.,,,,,,,,,,,,general search listing (West Valley Arizona technology companies),2026-09-22,LOW,,,,P3,"Multi-state company; confirm Goodyear office has an engineering team, not just sales/support."
Redrock Software Corporation,https://www.redrocksc.com,Gilbert,AZ,Higher Education Software,Private,11-50,Established (1991),HQ,HIGH,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Software development solutions for colleges and universities, HQ Gilbert since 1991.",Long-established local software company.,,,,,,,,,,,,general search listing (Gilbert Arizona software companies),2026-09-22,LOW,,,,P3,
Eightfold Technology,,Prescott,AZ,Web/Software Development,Private,1-10,Small/local,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Web development company based in Prescott, AZ.",One of few identifiable Prescott-based software companies.,,,,,,,,,,,,general search listing (Prescott Arizona technology),2026-09-22,LOW,,,,P3,Very limited verification available; small local shop - confirm details directly before outreach.
Exos,https://www.exosworks.com,Phoenix,AZ,Human Performance Technology/Wellness,Private,200-500,Growth,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,https://www.exosworks.com/careers,,NONE_FOUND,NONE_FOUND,NO,"Human performance/corporate wellness company with a data/software product arm, HQ Phoenix.",Some software/data engineering presence within a larger performance-services business.,,,,,,,,,,,https://www.linkedin.com/company/exos,general search listing (Phoenix healthtech ecosystem),2026-09-22,LOW,,,,P3,
FitMyFoot,https://www.fitmyfoot.com,Tempe,AZ,AI/3D-Printed Footwear (Health Tech),Private,11-50,Early/Growth,HQ,MEDIUM,MEDIUM,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Uses phone-photo computer vision to create custom, biomechanically-optimized 3D-printed footwear.",Computer vision + biomechanics application fits CV background.,,,,,,,,,,,,general search listing (Arizona AI startups),2026-09-22,LOW,,,,P3,Verify current AZ HQ status and team size directly.
Hadrian,https://www.hadrian.co,Phoenix (planned facility),AZ,AI-Powered Manufacturing,Private,200-500,Growth (well-funded),"Planned 270,000 sq ft AZ facility ($200M investment)",HIGH,HIGH,HIGH,LOW,UNCLEAR,https://www.hadrian.co/careers,,NONE_FOUND,NONE_FOUND,NO,Advanced manufacturing company building AI-powered factories for aerospace/defense parts; announced a major AZ manufacturing and software hub.,"AI + robotics manufacturing software is a strong skills match, but AZ facility may not be operational/hiring yet.",,,,,,,,,,,https://www.linkedin.com/company/hadrianautomation,general search listing (Arizona aerospace/space companies),2026-09-22,LOW,,,,P3,Corporate HQ is Los Angeles; AZ facility reported as planned/under development - confirm current AZ hiring before outreach.
Inherent Technologies,https://www.inherentt.com,Chandler,AZ,IT Consulting/Custom Software/AI,Private,50-200,Established,HQ,HIGH,MEDIUM,LOW,MEDIUM,UNCLEAR,https://www.inherentt.com/careers/,,NONE_FOUND,NONE_FOUND,NO,"IT consulting/professional services firm offering custom software, cloud, BI, and AI services, HQ Chandler.",Custom software/AI consultancy; broad stack overlap.,,,,,,,,,,,https://www.linkedin.com/company/inherent-technologies,general search listing (Chandler technology companies); https://builtin.com references via search summary,2026-09-22,MEDIUM,,,,P2,
Artha Solutions,https://www.arthasi.com,Scottsdale,AZ,IT Strategy/BI Consulting,Private,11-50,Established,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"IT strategy and BI/big-data consulting firm, HQ Scottsdale.",Data engineering/BI consultancy.,,,,,,,,,,,,general search listing (Arizona data analytics companies),2026-09-22,LOW,,,,P3,
Paradigm Technology,https://www.paradigmtechinc.com,Scottsdale,AZ,IT Strategy/BI Consulting,Private,11-50,Established,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"IT strategy consulting and BI/big-data consulting and SI services, HQ Scottsdale.",Data engineering/BI consultancy.,,,,,,,,,,,,general search listing (Arizona data analytics companies),2026-09-22,LOW,,,,P3,
Virga Labs,,Phoenix,AZ,Business Intelligence Consulting,Private,1-10,Small,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Small business intelligence consulting company, HQ Phoenix.",Data/BI consultancy.,,,,,,,,,,,,general search listing (Arizona data analytics companies),2026-09-22,LOW,,,,P3,Very limited verification available; small local shop.
TucsonBizz,,Tucson,AZ,Software/Mobile App Development,Private,1-50,Unclear,HQ,MEDIUM,LOW,LOW,LOW,UNCLEAR,,,NONE_FOUND,NONE_FOUND,NO,"Custom software and mobile app development company for enterprise/startup clients, Tucson.",Local software development consultancy.,,,,,,,,,,,,general search listing (Tucson Arizona tech companies),2026-09-22,LOW,,,,P3,Low verification confidence - recommend confirming directly before outreach.
